"REGION","SUB_REGION","DISTRICT","SUBCOUNTY","NAME","UID","COORDINATES","OPERATIONAL STATUS","FACILITY_LEVEL","OWNERSHIP_NAME","AUTHORITY_NAME"
"Eastern Region","Bukedi","Budaka District","Budaka Town Council","Budaka Prison HC II","NbrynjWKgKo","""""","Functional","HC II","","UPS"
"Central Region","South Central","Kyotera District","Kakuuto Subcounty","Buddu Clinic HC II","nAGyLvO5sg3","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Kajjansi Town Council","Buddukiro Dom Clinic HC III","Ae5glj2M9zf","""""","","HC III","PFP","Private"
"Central Region","North Central","Buikwe District","Central Division (Njeru MC)","Budduliro Clinic","tRbyyywlP9x","""""","Non-Functional","HC II","PFP","NGO"
"Central Region","South Central","Wakiso District","Nansana Division","Buddu Medical Clinic","kkXMXPOwvKq","""""","Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Luuka District","Bukooma Subcounty","Budhana HC II","upJ4ORiIFxs","{""type"": ""Point"", ""coordinates"": [33.3071, 0.8395]}","Functional","HC II","PNFP","Private"
"Eastern Region","Busoga","Kamuli District","Kitayunjwa Subcounty","Budhatemwa HC II","M7IdNzIwa32","{""type"": ""Point"", ""coordinates"": [33.15799, 0.83928]}","Functional","HC II","PNFP","UPMB"
"Eastern Region","Busoga","Bugiri District","Budhaya Subcounty","Budhaya HC II","a1OVdGUzoJ4","{""type"": ""Point"", ""coordinates"": [33.776448, 0.38234]}","Functional","HC II","GOV","MOH"
"Eastern Region","Busoga","Jinja District","Butagaya Subcounty","Budima HC III","CfUwC7rnAVI","{""type"": ""Point"", ""coordinates"": [33.10371, 0.64177]}","Functional","HC III","GOV","MOH"
"Eastern Region","Busoga","Kaliro District","Budomero Subcounty","Budomero HC III","MrutYIp69Ui","{""type"": ""Point"", ""coordinates"": [33.46768, 1.04037]}","Functional","HC II","GOV","MOH"
"Eastern Region","Busoga","Jinja District","Budondo Subcounty","Budondo HC IV","BTNeWyNJanq","{""type"": ""Point"", ""coordinates"": [33.16165, 0.51725]}","Functional","HC IV","GOV","MOH"
"Western Region","Bunyoro","Masindi District","Budongo Subcounty","Budongo HC II","adHTHcoRhrH","{""type"": ""Point"", ""coordinates"": [31.56248, 1.63943]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bugisu","Bududa District","Bududa Town Council","Bududa Hospital","xVmiaKB3dHI","{""type"": ""Point"", ""coordinates"": [34.332262, 1.00907]}","Functional","Hospital","GOV","MOH"
"Eastern Region","Bukedi","Butaleja District","Budumba Subcounty","Budumba HC III","BjDvpnOuxT0","{""type"": ""Point"", ""coordinates"": [33.85722, 0.822326]}","Functional","HC III","GOV","MOH"
"Eastern Region","Bugisu","Mbale District","Budwale Subcounty","Budwale HC III","tZX3IqSxAr1","""""","Functional","HC III","GOV","MOH"
"Eastern Region","Busoga","Mayuge District","Imanyiro Subcounty","Bufulubi Prison HC II","gid2cWEy2rv","{""type"": ""Point"", ""coordinates"": [33.42439, 0.48403]}","Functional","HC II","GOV","UPS"
"Eastern Region","Bugisu","Bududa District","Bumayoka Subcounty","Bufuma HC III","av5hBEV9k6X","{""type"": ""Point"", ""coordinates"": [34.393996, 1.038176]}","Functional","HC III","GOV","MOH"
"Eastern Region","Bugisu","Mbale District","Bukonde Subcounty","Bufumbo HC IV","zH1tLSpZuGt","{""type"": ""Point"", ""coordinates"": [34.23246, 1.10115]}","Functional","HC IV","GOV","MOH"
"Central Region","South Central","Kalangala District","Bufumira Subcounty","Bufumira HC III","mWaRCpc5hPU","{""type"": ""Point"", ""coordinates"": [32.38147, -0.33762]}","Functional","HC III","GOV","MOH"
"Central Region","South Central","Kalangala District","Bufumira Subcounty","Bufumira Islanders Friends Of Family HC II","uENCXRMDzpG","""""","Functional","HC II","PNFP","CBO"
"Western Region","Ankole","Ibanda District","Bufunda Division","Bufunda HC III","Wmc36bI5m96","{""type"": ""Point"", ""coordinates"": [30.49166, -0.13596]}","Functional","HC III","GOV","MOH"
"Western Region","Kigezi","Rubanda District","Bufundi Subcounty","Bufundi HC III","l9dGMGtxEOi","{""type"": ""Point"", ""coordinates"": [29.861686, -1.286824]}","Functional","HC III","GOV","MOH"
"Western Region","Tooro","Kyenjojo District","Kifuka Town Council","Bufunjo HC III","W4WTbuj52ZD","{""type"": ""Point"", ""coordinates"": [30.836555, 0.75109]}","Functional","HC III","GOV","MOH"
"Western Region","Tooro","Kyenjojo District","Kifuka Town Council","Bufunjo Medical Centre HC II","g3vNw9kVF01","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Masaka District","Mukungwe Subcounty","Bugabira HC II","arNIJYtf78k","{""type"": ""Point"", ""coordinates"": [31.7311, -0.29882]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Kiboga District","Dwaniro Subcounty","Bugabo Clinic HC II","GLHy3J2KXBU","""""","Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Namayingo District","Mutumba Subcounty","Bugali HC II","RfYTyh0UmGQ","""""","Functional","HC II","GOV","MOH"
"Eastern Region","Bukedi","Butaleja District","Nawanjofu Subcounty","Bugalo HC III","Symjhaye4Gp","{""type"": ""Point"", ""coordinates"": [33.835451, 0.922314]}","Functional","HC III","GOV","MOH"
"Western Region","Ankole","Rwampara District","Bugamba Subcounty","Bugamba HC IV","cTp1LWth7hI","{""type"": ""Point"", ""coordinates"": [30.52007, -0.74294]}","Functional","HC IV","GOV","MOH"
"Western Region","Bunyoro","Kikuube District","Bugambe Subcounty","Bugambe HC III","CRKrLT3w8EQ","{""type"": ""Point"", ""coordinates"": [31.25227, 1.42095]}","Functional","HC III","GOV","MOH"
"Western Region","Bunyoro","Kikuube District","Bugambe Subcounty","Bugambe Prison Clinic","H8Bros0p2OY","""""","Functional","HC II","","UPS"
"Western Region","Bunyoro","Kikuube District","Bugambe Subcounty","Bugambe Tea HC III","Gbjmyvee9zh","{""type"": ""Point"", ""coordinates"": [31.2028, 1.44251]}","Functional","HC III","PNFP","NGO"
"Eastern Region","Busoga","Luuka District","Ikumbya Subcounty","Bugambo HC II","VTki8kgpnbt","{""type"": ""Point"", ""coordinates"": [33.39522, 0.9688]}","Functional","HC II","GOV","MOH"
"Eastern Region","Busoga","Namayingo District","Bukana Subcounty","Bugana HC II","WNrSmg2aMGz","""""","Functional","HC II","GOV","MOH"
"Western Region","Bunyoro","Buliisa District","Buliisa Subcounty","Bugana HC III","m4Ab91z5Jcf","""""","Functional","HC III","GOV","MOH"
"Western Region","Kigezi","Rukungiri District","Bugangari Subcounty","Bugangari HC IV","aG2h9UI08nA","{""type"": ""Point"", ""coordinates"": [29.854826, -0.71348]}","Functional","HC IV","GOV","MOH"
"Western Region","Ankole","Isingiro District","Bugango Town Council","","czEXg5E8wiX","""""","","","",""
"Western Region","Ankole","Ibanda District","Bisheshe Division","Bugarama Medical Centre Clinic","Yts6VtyPYQ4","""""","Non-Functional","Clinic","PFP","Private"
"Central Region","North Central","Buvuma District","Buvuma Bugaya Subcounty","Bugaya HC III","aVeE8JrylXn","{""type"": ""Point"", ""coordinates"": [33.286101, 0.048954]}","Functional","HC III","GOV","MOH"
"Eastern Region","Bugisu","Mbale District","Bungokho Subcounty","Bugema HC II","ZrxsUH2PMkW","{""type"": ""Point"", ""coordinates"": [34.181271, 1.033397]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Luwero District","Kalagala Subcounty","Bugema University HC III","hrEjabfmkqU","{""type"": ""Point"", ""coordinates"": [32.702312, 0.68603]}","Functional","HC II","PNFP","SDA"
"Eastern Region","Busoga","Jinja District","Bugembe Town Council","Bugembe HC IV","MmVUt93uiqa","{""type"": ""Point"", ""coordinates"": [33.23708, 0.46433]}","Functional","HC IV","GOV","MOH"
"Eastern Region","Busoga","Jinja District","Bugembe Town Council","Bugembe Prison HC II","EYfvbgpSbDF","""""","Functional","HC II","","UPS"
"Central Region","North Central","Kayunga District","Kayunga Town Council","Bugerere Nursing Home","mXx7w17TUqb","""""","Functional","Clinic","PFP","Private"
"Eastern Region","Busoga","Kamuli District","Butansi Subcounty","Bugeywa HC II","b9niqLqoyqP","{""type"": ""Point"", ""coordinates"": [33.0335, 0.9042]}","Functional","HC II","PNFP","UPMB"
"Western Region","Tooro","Kasese District","Rukoki Subcounty","Bughalitsa HC II","htLnaavddQm","""""","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kasese District","Buhuhira Subcounty","Bughendero HCII","o4cJYAKyDZ7","""""","","","",""
"Eastern Region","Bugisu","Bulambuli District","Buginyanya Subcounty","Buginyanya HC III","wNIGyP5Wi4G","{""type"": ""Point"", ""coordinates"": [34.36559, 1.27896]}","Functional","HC III","GOV","MOH"
"Eastern Region","Busoga","Bugiri District","Buwunga Subcounty (Bugiri District)","Bugiri Buwunga HC III","yJNtR9S3CZZ","{""type"": ""Point"", ""coordinates"": [33.68956, 0.54843]}","Functional","HC III","GOV","MOH"
"Western Region","Kigezi","Kanungu District","Kanyantorogo Subcounty","Bugiri HC II","tomEcRAbdhE","{""type"": ""Point"", ""coordinates"": [29.67808, -0.84149]}","Functional","HC II","PNFP","NGO"
"Eastern Region","Busoga","Bugiri District","Western Division (Bugiri MC)","Bugiri Hospital","CNG62dd4mE1","{""type"": ""Point"", ""coordinates"": [33.742088, 0.575261]}","Functional","Hospital","GOV","MOH"
"Eastern Region","Busoga","Bugiri District","Budhaya Subcounty","Bugiri Mayuge HC III","bV0ljliUSvK","{""type"": ""Point"", ""coordinates"": [33.8013, 0.40711]}","Functional","HC III","GOV","MOH"
"Eastern Region","Busoga","Bugiri District","Eastern Division (Bugiri MC)","Bugiri MC HC III","NNIbG3x0vW4","""""","Functional","HC II","GOV","MOH"
"Eastern Region","Busoga","Bugiri District","Western Division (Bugiri MC)","Bugiri Police HC II","mDDQrbbC8wK","""""","Functional","HC II","GOV","UPF"
"Eastern Region","Busoga","Bugiri District","Eastern Division (Bugiri MC)","Bugiri Prisons HC II","pF5GkN2tzmp","""""","Functional","HC II","GOV","UPS"
"Eastern Region","Busoga","Bugiri District","Bugiri Town Council","","gh5VniJGD31","""""","","","",""
"Eastern Region","Bugisu","Sironko District","Bugitimwa Subcounty","Bugitimwa Govt HC III","h9EhsXtR7wl","{""type"": ""Point"", ""coordinates"": [34.38993, 1.15925]}","Functional","HC III","GOV","MOH"
"Eastern Region","Bugisu","Sironko District","Bugitimwa Subcounty","Bugitimwa Ngo HC II","aVF1hN6kKkE","{""type"": ""Point"", ""coordinates"": [34.40911, 1.14923]}","Functional","HC II","PNFP","NGO"
"Central Region","South Central","Butambala District","Ngando Subcounty","Bugobango HC II","a93zYnWO0cT","{""type"": ""Point"", ""coordinates"": [31.90593, 0.1001]}","Functional","HC II","PNFP","CBO"
"Eastern Region","Bugisu","Manafwa District","Bugobero Subcounty","Bugobero HC IV","RTB3ZNoIDhd","{""type"": ""Point"", ""coordinates"": [34.25272, 0.86533]}","Functional","HC IV","GOV","MOH"
"Eastern Region","Busoga","Namutumba District","Bulange Subcounty","Bugobi HC II","M1T2kR9PYXj","{""type"": ""Point"", ""coordinates"": [33.77552, 0.71624]}","Functional","HC II","GOV","MOH"
"Eastern Region","Busoga","Namutumba District","Bulange Subcounty","Bugobi (Ngo) HC II","N9vaQzeDeI0","{""type"": ""Point"", ""coordinates"": [33.77323, 0.71909]}","Functional","HC II","PNFP","NGO"
"Eastern Region","Busoga","Namutumba District","Bugobi Subcounty","","LGPV9MfXhlb","""""","","","",""
"Western Region","Tooro","Kyegegwa District","Kasule Subcounty","Bugogo HC II","SpjkBGXlDXd","{""type"": ""Point"", ""coordinates"": [31.20736, 0.59203]}","Functional","HC II","GOV","MOH"
"Western Region","Bunyoro","Buliisa District","Butiaba Subcounty","Bugoigo HC II","ijHGyxnKjmz","{""type"": ""Point"", ""coordinates"": [31.40945, 1.90451]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Nakawa Division","Bugolobi Medical Center HC IV","dYj7fcY7A8G","{""type"": ""Point"", ""coordinates"": [32.621906, 0.32253]}","Functional","HC IV","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Bugolobi Medical Centre HC II","bnKRmW2sm3g","{""type"": ""Point"", ""coordinates"": [32.620335, 0.31558]}","Functional","HC II","PFP","Private"
"Central Region","South Central","Rakai District","Lwamaggwa Subcounty","Bugona HC II","a24jrqnkYhl","{""type"": ""Point"", ""coordinates"": [31.27469, -0.52003]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Serere District","Bugondo Subcounty","Bugondo HC III","UJJPDoh3skp","{""type"": ""Point"", ""coordinates"": [33.29324, 1.62054]}","Functional","HC III","GOV","MOH"
"Central Region","South Central","Wakiso District","Entebbe Division A","Bugonga Road Clinic HC II","Dz5Q1LyHZuD","""""","Functional","HC II","PFP","Private"
"Western Region","Kigezi","Kanungu District","Kambuga Subcounty","Bugongi HC II","rGyQQOXQlhl","{""type"": ""Point"", ""coordinates"": [29.7929, -0.7531]}","Functional","HC II","GOV","MOH"
"Western Region","Ankole","Sheema District","Bugongi Town Council","Bugongi HC III","RrvmrGFqy38","{""type"": ""Point"", ""coordinates"": [30.25571, -0.6327]}","Functional","HC III","GOV","MOH"
"Eastern Region","Busoga","Iganga District","Nabitende Subcounty","Bugono HC IV","JkMbi1FzXrX","{""type"": ""Point"", ""coordinates"": [33.45024, 0.81084]}","Functional","HC IV","GOV","MOH"
"Central Region","North Central","Mubende District","Kitenga Subcounty","Bugonzi HC II","r5X4QUeK8OA","{""type"": ""Point"", ""coordinates"": [31.52364, 0.46091]}","Functional","HC II","GOV","MOH"
"Eastern Region","Busoga","Mayuge District","Bukabooli Subcounty","Bugoto HC II","FICwy0lTFNW","{""type"": ""Point"", ""coordinates"": [33.65797, 0.32082]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Mukono District","Mpatta Subcounty","Bugoye HC II","au3c47FR6VQ","{""type"": ""Point"", ""coordinates"": [32.75585, 0.22445]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kasese District","Bugoye Subcounty","Bugoye HC III","aKmOqqxiDuQ","{""type"": ""Point"", ""coordinates"": [30.00238, 0.28918]}","Functional","HC III","GOV","MOH"
"Eastern Region","Busoga","Bugiri District","Kapyanga Subcounty","Bugoyozi HC II","IOqy7sFGqVv","{""type"": ""Point"", ""coordinates"": [33.78487, 0.49167]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bugisu","Bulambuli District","Buluganya Subcounty","Bugudoi HC II","NIc5pKnVYeR","{""type"": ""Point"", ""coordinates"": [34.33599, 1.20785]}","Functional","HC II","GOV","UCBHCA"
"Eastern Region","Busoga","Mayuge District","Kigandalo Subcounty","Bugulu HC II","gXxNhBepMX1","{""type"": ""Point"", ""coordinates"": [33.63855, 0.4022]}","Functional","HC II","GOV","MOH"
"Eastern Region","Busoga","Kamuli District","Bugulumbya Subcounty","Bugulumbya Flep HC II","ptjWwKVSEsQ","{""type"": ""Point"", ""coordinates"": [33.1871, 0.81276]}","Functional","HC II","PNFP","UPMB"
"Eastern Region","Busoga","Kamuli District","Bugulumbya Subcounty","Bugulumbya HC III","Pm7k3OLfbXA","{""type"": ""Point"", ""coordinates"": [33.214, 0.79385]}","Functional","HC III","GOV","MOH"
"Central Region","North Central","Buikwe District","Central Division (Njeru MC)","Bugungu HC II","aX1tLCw6glR","{""type"": ""Point"", ""coordinates"": [33.246703, 0.365255]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Buikwe District","Central Division (Njeru MC)","Bugungu Yo Prison HC II","Jk4Ws9uWKqb","{""type"": ""Point"", ""coordinates"": [33.19935, 0.3996]}","Functional","HC II","GOV","UPS"
"Central Region","North Central","Buikwe District","Central Division (Njeru MC)","Bugungu Yp Prison HC II","idkNxrymxSW","""""","Functional","HC II","","UPS"
"Eastern Region","Bugisu","Sironko District","Buwalasi Subcounty","Bugusege HC II","Q4w36syuJ46","{""type"": ""Point"", ""coordinates"": [34.25678, 1.14643]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kasese District","Rukoki Subcounty","Buhaghura HC III","PO2hM0JUIn2","{""type"": ""Point"", ""coordinates"": [30.043415, 0.225889]}","Functional","HC III","PNFP","UPMB"
"Western Region","Ankole","Ntungamo District","Nyamukana Town Council","Buhanama HC II","cOpgsVK1JpT","{""type"": ""Point"", ""coordinates"": [30.298607, -0.748821]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Bundibugyo District","Tokwe Subcounty","Buhanda (Bundibugyo) HC II","ADYVLN5f9vF","{""type"": ""Point"", ""coordinates"": [30.02384, 0.73398]}","Functional","HC II","GOV","MOH"
"Western Region","Kigezi","Rukungiri District","Buyanja Subcounty","Buhandagazi HC II","yHKSwGqmyt8","{""type"": ""Point"", ""coordinates"": [29.926136, -0.849626]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kitagwenda District","Buhanda Subcounty","Buhanda HC II","aklMmjueboD","""""","Functional","HC II","GOV","MOH"
"Western Region","Bunyoro","Hoima District","Mparo Division","Buhanika HC III","pefIQOO4szC","{""type"": ""Point"", ""coordinates"": [31.40631, 1.40563]}","Functional","HC III","GOV","MOH"
"Western Region","Kigezi","Kabale District","Buhara Subcounty","Buhara HC III","aJ0CTjwNQof","{""type"": ""Point"", ""coordinates"": [30.032536, -1.356989]}","Functional","HC III","GOV","MOH"
"Western Region","Kigezi","Kabale District","Buhara Subcounty","Buhara (Ngo) HC III","a680eATOSPd","{""type"": ""Point"", ""coordinates"": [30.0364, -1.36373]}","Functional","HC III","PNFP","NGO"
